"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size"
"de.codecentric.fpl.Construct.appendAtEnd","avgt",1,15,"0,010854","0,000214","us/op",1
"de.codecentric.fpl.Construct.appendAtEnd","avgt",1,15,"0,232547","0,004093","us/op",10
"de.codecentric.fpl.Construct.appendAtEnd","avgt",1,15,"2,755881","0,034711","us/op",100
"de.codecentric.fpl.Construct.appendAtEnd","avgt",1,15,"28,364721","0,450323","us/op",1000
"de.codecentric.fpl.Construct.appendAtEnd","avgt",1,15,"302,001794","6,133407","us/op",10000
"de.codecentric.fpl.Construct.appendAtStart","avgt",1,15,"0,008583","0,000238","us/op",1
"de.codecentric.fpl.Construct.appendAtStart","avgt",1,15,"0,220880","0,003027","us/op",10
"de.codecentric.fpl.Construct.appendAtStart","avgt",1,15,"3,498827","0,044981","us/op",100
"de.codecentric.fpl.Construct.appendAtStart","avgt",1,15,"37,863561","0,764334","us/op",1000
"de.codecentric.fpl.Construct.appendAtStart","avgt",1,15,"401,017537","7,930582","us/op",10000
"de.codecentric.fpl.Construct.appendLists","avgt",1,15,"0,006275","0,000081","us/op",1
"de.codecentric.fpl.Construct.appendLists","avgt",1,15,"0,332694","0,022292","us/op",10
"de.codecentric.fpl.Construct.appendLists","avgt",1,15,"4,047808","0,113663","us/op",100
"de.codecentric.fpl.Construct.appendLists","avgt",1,15,"45,727217","0,557224","us/op",1000
"de.codecentric.fpl.Construct.appendLists","avgt",1,15,"484,650706","7,882691","us/op",10000
"de.codecentric.fpl.Construct.constructFromIterator","avgt",1,15,"0,010014","0,000074","us/op",1
"de.codecentric.fpl.Construct.constructFromIterator","avgt",1,15,"0,042670","0,000896","us/op",10
"de.codecentric.fpl.Construct.constructFromIterator","avgt",1,15,"0,307439","0,011202","us/op",100
"de.codecentric.fpl.Construct.constructFromIterator","avgt",1,15,"2,852328","0,033346","us/op",1000
"de.codecentric.fpl.Construct.constructFromIterator","avgt",1,15,"27,394922","0,235347","us/op",10000
"de.codecentric.fpl.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"0,009534","0,000902","us/op",1
"de.codecentric.fpl.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"0,022892","0,003561","us/op",10
"de.codecentric.fpl.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"0,169375","0,036290","us/op",100
"de.codecentric.fpl.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"2,416683","0,023015","us/op",1000
"de.codecentric.fpl.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"23,944418","0,304881","us/op",10000
"de.codecentric.fpl.Consume.consumeFromEnd","avgt",1,15,"0,007903","0,000091","us/op",1
"de.codecentric.fpl.Consume.consumeFromEnd","avgt",1,15,"0,143325","0,002366","us/op",10
"de.codecentric.fpl.Consume.consumeFromEnd","avgt",1,15,"1,571247","0,018804","us/op",100
"de.codecentric.fpl.Consume.consumeFromEnd","avgt",1,15,"17,125977","0,225612","us/op",1000
"de.codecentric.fpl.Consume.consumeFromEnd","avgt",1,15,"191,166926","1,125087","us/op",10000
"de.codecentric.fpl.Consume.consumeFromStart","avgt",1,15,"0,007161","0,000253","us/op",1
"de.codecentric.fpl.Consume.consumeFromStart","avgt",1,15,"0,121666","0,001941","us/op",10
"de.codecentric.fpl.Consume.consumeFromStart","avgt",1,15,"1,385758","0,007321","us/op",100
"de.codecentric.fpl.Consume.consumeFromStart","avgt",1,15,"15,779033","0,131376","us/op",1000
"de.codecentric.fpl.Consume.consumeFromStart","avgt",1,15,"177,454737","1,609015","us/op",10000
"de.codecentric.fpl.Consume.getAllByIterator","avgt",1,15,"0,002441","0,000013","us/op",1
"de.codecentric.fpl.Consume.getAllByIterator","avgt",1,15,"0,030478","0,000180","us/op",10
"de.codecentric.fpl.Consume.getAllByIterator","avgt",1,15,"0,310508","0,003120","us/op",100
"de.codecentric.fpl.Consume.getAllByIterator","avgt",1,15,"3,149042","0,126591","us/op",1000
"de.codecentric.fpl.Consume.getAllByIterator","avgt",1,15,"30,842421","0,496222","us/op",10000
"de.codecentric.fpl.Consume.getAllRandomly","avgt",1,15,"0,003380","0,000093","us/op",1
"de.codecentric.fpl.Consume.getAllRandomly","avgt",1,15,"0,029248","0,000201","us/op",10
"de.codecentric.fpl.Consume.getAllRandomly","avgt",1,15,"0,412729","0,013940","us/op",100
"de.codecentric.fpl.Consume.getAllRandomly","avgt",1,15,"4,867878","0,086833","us/op",1000
"de.codecentric.fpl.Consume.getAllRandomly","avgt",1,15,"59,816400","0,370849","us/op",10000
"de.codecentric.fpl.Consume.getFirst","avgt",1,15,"0,002230","0,000010","us/op",1
"de.codecentric.fpl.Consume.getFirst","avgt",1,15,"0,002229","0,000012","us/op",10
"de.codecentric.fpl.Consume.getFirst","avgt",1,15,"0,002230","0,000012","us/op",100
"de.codecentric.fpl.Consume.getFirst","avgt",1,15,"0,002234","0,000010","us/op",1000
"de.codecentric.fpl.Consume.getFirst","avgt",1,15,"0,002232","0,000009","us/op",10000
"de.codecentric.fpl.Consume.getLast","avgt",1,15,"0,002395","0,000015","us/op",1
"de.codecentric.fpl.Consume.getLast","avgt",1,15,"0,002473","0,000176","us/op",10
"de.codecentric.fpl.Consume.getLast","avgt",1,15,"0,002478","0,000175","us/op",100
"de.codecentric.fpl.Consume.getLast","avgt",1,15,"0,002400","0,000012","us/op",1000
"de.codecentric.fpl.Consume.getLast","avgt",1,15,"0,002447","0,000098","us/op",10000
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"0,003191","0,000017","us/op",1
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"0,291416","0,005812","us/op",10
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"3,366887","0,069725","us/op",100
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"37,660368","1,047617","us/op",1000
"de.codecentric.fpl.Consume.recursiveSplit","avgt",1,15,"392,372104","3,099111","us/op",10000
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,006087","0,000073","us/op",1
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,006642","0,000059","us/op",10
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,028863","0,000089","us/op",100
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"0,294649","0,000803","us/op",1000
"de.codecentric.fpl.CopyOfVsNewAndArraycopy.withCopyOf","avgt",1,15,"3,058103","0,005725","us/op",10000
