# Run complete. Total time: 11:20:46

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                               (size)  Mode  Cnt      Score     Error  Units
d.c.fpl.Construct.appendAtEnd                                1  avgt   15      0,011 ±   0,001  us/op
d.c.fpl.Construct.appendAtEnd                               10  avgt   15      0,233 ±   0,004  us/op
d.c.fpl.Construct.appendAtEnd                              100  avgt   15      2,756 ±   0,035  us/op
d.c.fpl.Construct.appendAtEnd                             1000  avgt   15     28,365 ±   0,450  us/op
d.c.fpl.Construct.appendAtEnd                            10000  avgt   15    302,002 ±   6,133  us/op

d.c.fpl.Construct.appendAtStart                              1  avgt   15      0,009 ±   0,001  us/op
d.c.fpl.Construct.appendAtStart                             10  avgt   15      0,221 ±   0,003  us/op
d.c.fpl.Construct.appendAtStart                            100  avgt   15      3,499 ±   0,045  us/op
d.c.fpl.Construct.appendAtStart                           1000  avgt   15     37,864 ±   0,764  us/op
d.c.fpl.Construct.appendAtStart                          10000  avgt   15    401,018 ±   7,931  us/op

d.c.fpl.Construct.appendLists                                1  avgt   15      0,006 ±   0,001  us/op
d.c.fpl.Construct.appendLists                               10  avgt   15      0,333 ±   0,022  us/op
d.c.fpl.Construct.appendLists                              100  avgt   15      4,048 ±   0,114  us/op
d.c.fpl.Construct.appendLists                             1000  avgt   15     45,727 ±   0,557  us/op
d.c.fpl.Construct.appendLists                            10000  avgt   15    484,651 ±   7,883  us/op

d.c.fpl.Construct.constructFromIterator                      1  avgt   15      0,010 ±   0,001  us/op
d.c.fpl.Construct.constructFromIterator                     10  avgt   15      0,043 ±   0,001  us/op
d.c.fpl.Construct.constructFromIterator                    100  avgt   15      0,307 ±   0,011  us/op
d.c.fpl.Construct.constructFromIterator                   1000  avgt   15      2,852 ±   0,033  us/op
d.c.fpl.Construct.constructFromIterator                  10000  avgt   15     27,395 ±   0,235  us/op

d.c.fpl.Construct.constructFromIteratorWithKnownSize         1  avgt   15      0,010 ±   0,001  us/op
d.c.fpl.Construct.constructFromIteratorWithKnownSize        10  avgt   15      0,023 ±   0,004  us/op
d.c.fpl.Construct.constructFromIteratorWithKnownSize       100  avgt   15      0,169 ±   0,036  us/op
d.c.fpl.Construct.constructFromIteratorWithKnownSize      1000  avgt   15      2,417 ±   0,023  us/op
d.c.fpl.Construct.constructFromIteratorWithKnownSize     10000  avgt   15     23,944 ±   0,305  us/op

d.c.fpl.Consume.consumeFromEnd                               1  avgt   15      0,008 ±   0,001  us/op
d.c.fpl.Consume.consumeFromEnd                              10  avgt   15      0,143 ±   0,002  us/op
d.c.fpl.Consume.consumeFromEnd                             100  avgt   15      1,571 ±   0,019  us/op
d.c.fpl.Consume.consumeFromEnd                            1000  avgt   15     17,126 ±   0,226  us/op
d.c.fpl.Consume.consumeFromEnd                           10000  avgt   15    191,167 ±   1,125  us/op

d.c.fpl.Consume.consumeFromStart                             1  avgt   15      0,007 ±   0,001  us/op
d.c.fpl.Consume.consumeFromStart                            10  avgt   15      0,122 ±   0,002  us/op
d.c.fpl.Consume.consumeFromStart                           100  avgt   15      1,386 ±   0,007  us/op
d.c.fpl.Consume.consumeFromStart                          1000  avgt   15     15,779 ±   0,131  us/op
d.c.fpl.Consume.consumeFromStart                         10000  avgt   15    177,455 ±   1,609  us/op

d.c.fpl.Consume.getAllByIterator                             1  avgt   15      0,002 ±   0,001  us/op
d.c.fpl.Consume.getAllByIterator                            10  avgt   15      0,030 ±   0,001  us/op
d.c.fpl.Consume.getAllByIterator                           100  avgt   15      0,311 ±   0,003  us/op
d.c.fpl.Consume.getAllByIterator                          1000  avgt   15      3,149 ±   0,127  us/op
d.c.fpl.Consume.getAllByIterator                         10000  avgt   15     30,842 ±   0,496  us/op

d.c.fpl.Consume.getAllRandomly                               1  avgt   15      0,003 ±   0,001  us/op
d.c.fpl.Consume.getAllRandomly                              10  avgt   15      0,029 ±   0,001  us/op
d.c.fpl.Consume.getAllRandomly                             100  avgt   15      0,413 ±   0,014  us/op
d.c.fpl.Consume.getAllRandomly                            1000  avgt   15      4,868 ±   0,087  us/op
d.c.fpl.Consume.getAllRandomly                           10000  avgt   15     59,816 ±   0,371  us/op

d.c.fpl.Consume.getFirst                                     1  avgt   15      0,002 ±   0,001  us/op
d.c.fpl.Consume.getFirst                                    10  avgt   15      0,002 ±   0,001  us/op
d.c.fpl.Consume.getFirst                                   100  avgt   15      0,002 ±   0,001  us/op
d.c.fpl.Consume.getFirst                                  1000  avgt   15      0,002 ±   0,001  us/op
