±

# Run complete. Total time: 00:05:05
REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.
Benchmark                                                (size)  Mode  Cnt       Score       Error  Units
d.c.list.Construct.appendAtEnd                                1    ss    5      46,780 ±    64,327  us/op
d.c.list.Construct.appendAtEnd                               10    ss    5     355,340 ±   308,104  us/op
d.c.list.Construct.appendAtEnd                              100    ss    5    1268,500 ±   649,615  us/op
d.c.list.Construct.appendAtEnd                             1000    ss    5    2473,900 ±   268,977  us/op
d.c.list.Construct.appendAtEnd                            10000    ss    5  258292,300 ± 66168,112  us/op
d.c.list.Construct.appendAtStart                              1    ss    5      34,680 ±    69,641  us/op
d.c.list.Construct.appendAtStart                             10    ss    5      64,120 ±    27,724  us/op
d.c.list.Construct.appendAtStart                            100    ss    5     405,940 ±    58,382  us/op
d.c.list.Construct.appendAtStart                           1000    ss    5     202,300 ±   264,788  us/op
d.c.list.Construct.appendAtStart                          10000    ss    5     809,680 ±   193,517  us/op
d.c.list.Construct.appendLists                                1    ss    5      26,720 ±    69,139  us/op
d.c.list.Construct.appendLists                               10    ss    5     291,880 ±    95,181  us/op
d.c.list.Construct.appendLists                              100    ss    5     396,420 ±   313,221  us/op
d.c.list.Construct.appendLists                             1000    ss    5     463,520 ±    66,060  us/op
d.c.list.Construct.appendLists                            10000    ss    5    1590,140 ±  1149,155  us/op
d.c.list.Construct.constructFromIterator                      1    ss    5      27,100 ±    31,097  us/op
d.c.list.Construct.constructFromIterator                     10    ss    5      25,020 ±    25,562  us/op
d.c.list.Construct.constructFromIterator                    100    ss    5     272,960 ±   102,099  us/op
d.c.list.Construct.constructFromIterator                   1000    ss    5     164,620 ±    46,259  us/op
d.c.list.Construct.constructFromIterator                  10000    ss    5     972,020 ±   156,296  us/op
d.c.list.Construct.constructFromIteratorWithKnownSize         1    ss    5      27,900 ±    31,153  us/op
d.c.list.Construct.constructFromIteratorWithKnownSize        10    ss    5      41,120 ±    48,157  us/op
d.c.list.Construct.constructFromIteratorWithKnownSize       100    ss    5     254,640 ±    82,368  us/op
d.c.list.Construct.constructFromIteratorWithKnownSize      1000    ss    5     158,860 ±    48,062  us/op
d.c.list.Construct.constructFromIteratorWithKnownSize     10000    ss    5    1057,180 ±   361,909  us/op
d.c.list.Consume.consumeFromEnd                               1    ss    5      25,560 ±     9,356  us/op
d.c.list.Consume.consumeFromEnd                              10    ss    5     275,280 ±   395,118  us/op
d.c.list.Consume.consumeFromEnd                             100    ss    5    1127,120 ±   330,005  us/op
d.c.list.Consume.consumeFromEnd                            1000    ss    5   11266,120 ±  2544,089  us/op
d.c.list.Consume.consumeFromEnd                           10000    ss    5  401968,600 ± 29958,030  us/op
d.c.list.Consume.consumeFromStart                             1    ss    5      13,740 ±    27,915  us/op
d.c.list.Consume.consumeFromStart                            10    ss    5      27,720 ±    19,134  us/op
d.c.list.Consume.consumeFromStart                           100    ss    5     177,560 ±    42,815  us/op
d.c.list.Consume.consumeFromStart                          1000    ss    5     105,280 ±    25,389  us/op
d.c.list.Consume.consumeFromStart                         10000    ss    5     772,400 ±   244,709  us/op
d.c.list.Consume.getAllByIterator                             1    ss    5       9,040 ±    12,369  us/op
d.c.list.Consume.getAllByIterator                            10    ss    5      11,100 ±     8,254  us/op
d.c.list.Consume.getAllByIterator                           100    ss    5      37,560 ±    13,748  us/op
d.c.list.Consume.getAllByIterator                          1000    ss    5     117,440 ±     9,962  us/op
d.c.list.Consume.getAllByIterator                         10000    ss    5     812,520 ±   214,055  us/op
d.c.list.Consume.getAllRandomly                               1    ss    5      17,420 ±    14,220  us/op
d.c.list.Consume.getAllRandomly                              10    ss    5      40,340 ±    16,240  us/op
d.c.list.Consume.getAllRandomly                             100    ss    5     441,180 ±   219,659  us/op
d.c.list.Consume.getAllRandomly                            1000    ss    5     854,200 ±   226,220  us/op
d.c.list.Consume.getAllRandomly                           10000    ss    5   72745,300 ±  9713,500  us/op
d.c.list.Consume.recursiveSplit                               1    ss    5       6,100 ±    27,153  us/op
d.c.list.Consume.recursiveSplit                              10    ss    5      39,500 ±    14,487  us/op
d.c.list.Consume.recursiveSplit                             100    ss    5     240,860 ±    80,324  us/op
d.c.list.Consume.recursiveSplit                            1000    ss    5     309,260 ±   211,365  us/op
d.c.list.Consume.recursiveSplit                           10000    ss    5    2415,420 ±   520,049  us/op
d.c.list.MapAndFlatMap.flatMap                                1    ss    5     971,940 ±   672,323  us/op
d.c.list.MapAndFlatMap.flatMap                               10    ss    5     333,060 ±    85,740  us/op
