# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtEnd
# Parameters: (size = 1)

# Run progress: 0,00% complete, ETA 23:36:40
# Fork: 1 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,016 us/op
# Warmup Iteration   3: 0,016 us/op
# Warmup Iteration   4: 0,016 us/op
# Warmup Iteration   5: 0,016 us/op
Iteration   1: 0,016 us/op
Iteration   2: 0,016 us/op
Iteration   3: 0,016 us/op
Iteration   4: 0,016 us/op
Iteration   5: 0,016 us/op

# Run progress: 0,12% complete, ETA 23:41:23
# Fork: 2 of 5
# Warmup Iteration   1: 0,017 us/op
# Warmup Iteration   2: 0,016 us/op
# Warmup Iteration   3: 0,016 us/op
# Warmup Iteration   4: 0,016 us/op
# Warmup Iteration   5: 0,016 us/op
Iteration   1: 0,016 us/op
Iteration   2: 0,016 us/op
Iteration   3: 0,016 us/op
Iteration   4: 0,016 us/op
Iteration   5: 0,016 us/op

# Run progress: 0,24% complete, ETA 23:39:32
# Fork: 3 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,016 us/op
# Warmup Iteration   3: 0,015 us/op
# Warmup Iteration   4: 0,015 us/op
# Warmup Iteration   5: 0,015 us/op
Iteration   1: 0,015 us/op
Iteration   2: 0,015 us/op
Iteration   3: 0,015 us/op
Iteration   4: 0,015 us/op
Iteration   5: 0,015 us/op

# Run progress: 0,35% complete, ETA 23:37:46
# Fork: 4 of 5
# Warmup Iteration   1: 0,017 us/op
# Warmup Iteration   2: 0,016 us/op
# Warmup Iteration   3: 0,016 us/op
# Warmup Iteration   4: 0,016 us/op
# Warmup Iteration   5: 0,016 us/op
Iteration   1: 0,016 us/op
Iteration   2: 0,016 us/op
Iteration   3: 0,016 us/op
Iteration   4: 0,016 us/op
Iteration   5: 0,016 us/op

# Run progress: 0,47% complete, ETA 23:36:03
# Fork: 5 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,016 us/op
# Warmup Iteration   3: 0,015 us/op
# Warmup Iteration   4: 0,015 us/op
# Warmup Iteration   5: 0,015 us/op
Iteration   1: 0,016 us/op
Iteration   2: 0,015 us/op
Iteration   3: 0,015 us/op
Iteration   4: 0,015 us/op
Iteration   5: 0,015 us/op


Result "de.codecentric.fpl.list.Construct.appendAtEnd":
  0,016 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,015, 0,016, 0,016), stdev = 0,001
  CI (99.9%): [0,015, 0,016] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtEnd
# Parameters: (size = 10)

# Run progress: 0,59% complete, ETA 23:34:22
# Fork: 1 of 5
# Warmup Iteration   1: 0,339 us/op
# Warmup Iteration   2: 0,333 us/op
# Warmup Iteration   3: 0,331 us/op
# Warmup Iteration   4: 0,331 us/op
# Warmup Iteration   5: 0,331 us/op
Iteration   1: 0,332 us/op
Iteration   2: 0,331 us/op
Iteration   3: 0,331 us/op
Iteration   4: 0,330 us/op
Iteration   5: 0,331 us/op

# Run progress: 0,71% complete, ETA 23:32:39
# Fork: 2 of 5
# Warmup Iteration   1: 0,339 us/op
# Warmup Iteration   2: 0,333 us/op
# Warmup Iteration   3: 0,332 us/op
# Warmup Iteration   4: 0,331 us/op
# Warmup Iteration   5: 0,331 us/op
Iteration   1: 0,331 us/op
Iteration   2: 0,331 us/op
Iteration   3: 0,331 us/op
Iteration   4: 0,331 us/op
Iteration   5: 0,332 us/op

# Run progress: 0,82% complete, ETA 23:30:57
# Fork: 3 of 5
# Warmup Iteration   1: 0,339 us/op
# Warmup Iteration   2: 0,333 us/op
# Warmup Iteration   3: 0,330 us/op
# Warmup Iteration   4: 0,331 us/op
# Warmup Iteration   5: 0,331 us/op
Iteration   1: 0,330 us/op
Iteration   2: 0,330 us/op
Iteration   3: 0,331 us/op
Iteration   4: 0,331 us/op
Iteration   5: 0,331 us/op

# Run progress: 0,94% complete, ETA 23:29:14
# Fork: 4 of 5
# Warmup Iteration   1: 0,339 us/op
# Warmup Iteration   2: 0,333 us/op
# Warmup Iteration   3: 0,331 us/op
# Warmup Iteration   4: 0,330 us/op
# Warmup Iteration   5: 0,330 us/op
Iteration   1: 0,330 us/op
Iteration   2: 0,330 us/op
Iteration   3: 0,330 us/op
Iteration   4: 0,329 us/op
Iteration   5: 0,330 us/op

# Run progress: 1,06% complete, ETA 23:27:33
# Fork: 5 of 5
# Warmup Iteration   1: 0,340 us/op
# Warmup Iteration   2: 0,336 us/op
# Warmup Iteration   3: 0,333 us/op
# Warmup Iteration   4: 0,333 us/op
# Warmup Iteration   5: 0,333 us/op
Iteration   1: 0,333 us/op
Iteration   2: 0,333 us/op
Iteration   3: 0,332 us/op
Iteration   4: 0,333 us/op
Iteration   5: 0,333 us/op


Result "de.codecentric.fpl.list.Construct.appendAtEnd":
  0,331 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,329, 0,331, 0,333), stdev = 0,001
  CI (99.9%): [0,330, 0,332] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtEnd
# Parameters: (size = 100)

# Run progress: 1,18% complete, ETA 23:25:51
# Fork: 1 of 5
# Warmup Iteration   1: 5,086 us/op
# Warmup Iteration   2: 4,998 us/op
# Warmup Iteration   3: 4,992 us/op
# Warmup Iteration   4: 4,980 us/op
# Warmup Iteration   5: 4,984 us/op
Iteration   1: 4,992 us/op
Iteration   2: 4,991 us/op
Iteration   3: 4,986 us/op
Iteration   4: 4,976 us/op
Iteration   5: 4,980 us/op

# Run progress: 1,29% complete, ETA 23:24:10
# Fork: 2 of 5
# Warmup Iteration   1: 5,068 us/op
# Warmup Iteration   2: 4,990 us/op
# Warmup Iteration   3: 4,963 us/op
# Warmup Iteration   4: 4,970 us/op
# Warmup Iteration   5: 4,968 us/op
Iteration   1: 4,976 us/op
Iteration   2: 4,981 us/op
Iteration   3: 4,980 us/op
Iteration   4: 4,979 us/op
Iteration   5: 4,979 us/op

# Run progress: 1,41% complete, ETA 23:22:28
# Fork: 3 of 5
# Warmup Iteration   1: 5,077 us/op
# Warmup Iteration   2: 4,988 us/op
# Warmup Iteration   3: 4,973 us/op
# Warmup Iteration   4: 4,981 us/op
# Warmup Iteration   5: 4,966 us/op
Iteration   1: 4,967 us/op
Iteration   2: 4,973 us/op
Iteration   3: 4,970 us/op
Iteration   4: 4,979 us/op
Iteration   5: 4,977 us/op

# Run progress: 1,53% complete, ETA 23:20:46
# Fork: 4 of 5
# Warmup Iteration   1: 5,079 us/op
# Warmup Iteration   2: 4,993 us/op
# Warmup Iteration   3: 4,966 us/op
# Warmup Iteration   4: 4,982 us/op
# Warmup Iteration   5: 4,975 us/op
Iteration   1: 4,968 us/op
Iteration   2: 4,975 us/op
Iteration   3: 4,977 us/op
Iteration   4: 4,977 us/op
Iteration   5: 4,963 us/op

# Run progress: 1,65% complete, ETA 23:19:06
# Fork: 5 of 5
# Warmup Iteration   1: 5,066 us/op
# Warmup Iteration   2: 4,986 us/op
# Warmup Iteration   3: 4,976 us/op
# Warmup Iteration   4: 4,985 us/op
# Warmup Iteration   5: 4,977 us/op
Iteration   1: 4,975 us/op
Iteration   2: 4,981 us/op
Iteration   3: 4,982 us/op
Iteration   4: 4,976 us/op
Iteration   5: 4,981 us/op


Result "de.codecentric.fpl.list.Construct.appendAtEnd":
  4,978 ±(99.9%) 0,005 us/op [Average]
  (min, avg, max) = (4,963, 4,978, 4,992), stdev = 0,007
  CI (99.9%): [4,973, 4,983] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtEnd
# Parameters: (size = 1000)

# Run progress: 1,76% complete, ETA 23:17:24
# Fork: 1 of 5
# Warmup Iteration   1: 53,762 us/op
# Warmup Iteration   2: 53,082 us/op
# Warmup Iteration   3: 53,066 us/op
# Warmup Iteration   4: 53,128 us/op
# Warmup Iteration   5: 53,018 us/op
Iteration   1: 53,091 us/op
Iteration   2: 53,055 us/op
Iteration   3: 53,156 us/op
Iteration   4: 53,114 us/op
Iteration   5: 53,091 us/op

# Run progress: 1,88% complete, ETA 23:15:43
# Fork: 2 of 5
# Warmup Iteration   1: 53,923 us/op
# Warmup Iteration   2: 53,234 us/op
# Warmup Iteration   3: 53,174 us/op
# Warmup Iteration   4: 53,121 us/op
# Warmup Iteration   5: 53,135 us/op
Iteration   1: 53,146 us/op
Iteration   2: 53,078 us/op
Iteration   3: 53,135 us/op
