"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size"
"de.codecentric.fpl.list.Construct.appendAtEnd","avgt",1,15,"0,015968","0,000358","us/op",1
"de.codecentric.fpl.list.Construct.appendAtEnd","avgt",1,15,"0,334992","0,002014","us/op",10
"de.codecentric.fpl.list.Construct.appendAtEnd","avgt",1,15,"4,989085","0,075654","us/op",100
"de.codecentric.fpl.list.Construct.appendAtEnd","avgt",1,15,"52,979291","0,526844","us/op",1000
"de.codecentric.fpl.list.Construct.appendAtEnd","avgt",1,15,"544,332651","6,034205","us/op",10000
"de.codecentric.fpl.list.Construct.appendAtStart","avgt",1,15,"0,014200","0,000237","us/op",1
"de.codecentric.fpl.list.Construct.appendAtStart","avgt",1,15,"0,333229","0,001284","us/op",10
"de.codecentric.fpl.list.Construct.appendAtStart","avgt",1,15,"5,009401","0,047459","us/op",100
"de.codecentric.fpl.list.Construct.appendAtStart","avgt",1,15,"53,694720","0,600174","us/op",1000
"de.codecentric.fpl.list.Construct.appendAtStart","avgt",1,15,"554,036294","3,751284","us/op",10000
"de.codecentric.fpl.list.Construct.appendLists","avgt",1,15,"0,008030","0,000141","us/op",1
"de.codecentric.fpl.list.Construct.appendLists","avgt",1,15,"0,424651","0,004433","us/op",10
"de.codecentric.fpl.list.Construct.appendLists","avgt",1,15,"5,170829","0,031046","us/op",100
"de.codecentric.fpl.list.Construct.appendLists","avgt",1,15,"59,104453","1,195341","us/op",1000
"de.codecentric.fpl.list.Construct.appendLists","avgt",1,15,"607,555161","9,683846","us/op",10000
"de.codecentric.fpl.list.Construct.constructFromIterator","avgt",1,15,"0,021596","0,000071","us/op",1
"de.codecentric.fpl.list.Construct.constructFromIterator","avgt",1,15,"0,084798","0,001309","us/op",10
"de.codecentric.fpl.list.Construct.constructFromIterator","avgt",1,15,"1,164291","0,017537","us/op",100
"de.codecentric.fpl.list.Construct.constructFromIterator","avgt",1,15,"13,262443","0,044313","us/op",1000
"de.codecentric.fpl.list.Construct.constructFromIterator","avgt",1,15,"152,545349","2,980595","us/op",10000
"de.codecentric.fpl.list.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"0,011460","0,000247","us/op",1
"de.codecentric.fpl.list.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"0,046279","0,000790","us/op",10
"de.codecentric.fpl.list.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"0,373796","0,009774","us/op",100
"de.codecentric.fpl.list.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"3,829465","0,063720","us/op",1000
"de.codecentric.fpl.list.Construct.constructFromIteratorWithKnownSize","avgt",1,15,"39,814214","0,676577","us/op",10000
"de.codecentric.fpl.list.Consume.consumeFromEnd","avgt",1,15,"0,009930","0,000144","us/op",1
"de.codecentric.fpl.list.Consume.consumeFromEnd","avgt",1,15,"0,309231","0,005327","us/op",10
"de.codecentric.fpl.list.Consume.consumeFromEnd","avgt",1,15,"3,584925","0,034569","us/op",100
"de.codecentric.fpl.list.Consume.consumeFromEnd","avgt",1,15,"38,536819","0,410743","us/op",1000
"de.codecentric.fpl.list.Consume.consumeFromEnd","avgt",1,15,"409,456057","1,427895","us/op",10000
"de.codecentric.fpl.list.Consume.consumeFromStart","avgt",1,15,"0,007768","0,000168","us/op",1
"de.codecentric.fpl.list.Consume.consumeFromStart","avgt",1,15,"0,287360","0,001082","us/op",10
"de.codecentric.fpl.list.Consume.consumeFromStart","avgt",1,15,"3,326230","0,016168","us/op",100
"de.codecentric.fpl.list.Consume.consumeFromStart","avgt",1,15,"36,067536","0,383547","us/op",1000
"de.codecentric.fpl.list.Consume.consumeFromStart","avgt",1,15,"381,922981","5,154004","us/op",10000
"de.codecentric.fpl.list.Consume.getAllByIterator","avgt",1,15,"0,003276","0,000028","us/op",1
"de.codecentric.fpl.list.Consume.getAllByIterator","avgt",1,15,"0,034957","0,000412","us/op",10
"de.codecentric.fpl.list.Consume.getAllByIterator","avgt",1,15,"0,368154","0,003323","us/op",100
"de.codecentric.fpl.list.Consume.getAllByIterator","avgt",1,15,"3,477181","0,025480","us/op",1000
"de.codecentric.fpl.list.Consume.getAllByIterator","avgt",1,15,"37,862985","0,629252","us/op",10000
"de.codecentric.fpl.list.Consume.getAllRandomly","avgt",1,15,"0,003943","0,000040","us/op",1
"de.codecentric.fpl.list.Consume.getAllRandomly","avgt",1,15,"0,038675","0,000259","us/op",10
"de.codecentric.fpl.list.Consume.getAllRandomly","avgt",1,15,"0,561434","0,036534","us/op",100
"de.codecentric.fpl.list.Consume.getAllRandomly","avgt",1,15,"7,167044","0,099504","us/op",1000
"de.codecentric.fpl.list.Consume.getAllRandomly","avgt",1,15,"109,391910","2,193475","us/op",10000
"de.codecentric.fpl.list.Consume.getAllSequentially","avgt",1,15,"0,003795","0,000052","us/op",1
"de.codecentric.fpl.list.Consume.getAllSequentially","avgt",1,15,"0,031740","0,000078","us/op",10
"de.codecentric.fpl.list.Consume.getAllSequentially","avgt",1,15,"0,591968","0,002309","us/op",100
"de.codecentric.fpl.list.Consume.getAllSequentially","avgt",1,15,"6,618596","0,075130","us/op",1000
"de.codecentric.fpl.list.Consume.getAllSequentially","avgt",1,15,"84,267670","3,146303","us/op",10000
"de.codecentric.fpl.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"0,021250","0,000323","us/op",1
"de.codecentric.fpl.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"0,055505","0,008383","us/op",10
"de.codecentric.fpl.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"0,552713","0,021613","us/op",100
"de.codecentric.fpl.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"5,593346","0,135989","us/op",1000
"de.codecentric.fpl.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"55,145637","0,961099","us/op",10000
"de.codecentric.fpl.list.Consume.recursiveSplit","avgt",1,15,"0,004055","0,000029","us/op",1
"de.codecentric.fpl.list.Consume.recursiveSplit","avgt",1,15,"0,416979","0,008589","us/op",10
"de.codecentric.fpl.list.Consume.recursiveSplit","avgt",1,15,"5,343618","0,117496","us/op",100
"de.codecentric.fpl.list.Consume.recursiveSplit","avgt",1,15,"57,886782","1,361044","us/op",1000
"de.codecentric.fpl.list.Consume.recursiveSplit","avgt",1,15,"584,426781","7,761057","us/op",10000
"de.codecentric.scala.list.Construct.appendAtEnd","avgt",1,15,"0,004398","0,000080","us/op",1
"de.codecentric.scala.list.Construct.appendAtEnd","avgt",1,15,"0,025630","0,001031","us/op",10
"de.codecentric.scala.list.Construct.appendAtEnd","avgt",1,15,"0,263471","0,004627","us/op",100
"de.codecentric.scala.list.Construct.appendAtEnd","avgt",1,15,"4,099113","0,066832","us/op",1000
"de.codecentric.scala.list.Construct.appendAtEnd","avgt",1,15,"42,448197","0,437651","us/op",10000
"de.codecentric.scala.list.Construct.appendAtStart","avgt",1,15,"0,005182","0,000082","us/op",1
"de.codecentric.scala.list.Construct.appendAtStart","avgt",1,15,"0,443002","0,024625","us/op",10
"de.codecentric.scala.list.Construct.appendAtStart","avgt",1,15,"29,373154","0,382862","us/op",100
"de.codecentric.scala.list.Construct.appendAtStart","avgt",1,15,"2702,547131","42,970657","us/op",1000
"de.codecentric.scala.list.Construct.appendAtStart","avgt",1,15,"271292,705833","3179,050151","us/op",10000
"de.codecentric.scala.list.Construct.appendLists","avgt",1,15,"0,003944","0,000071","us/op",1
"de.codecentric.scala.list.Construct.appendLists","avgt",1,15,"0,097171","0,002533","us/op",10
"de.codecentric.scala.list.Construct.appendLists","avgt",1,15,"1,646012","0,027967","us/op",100
"de.codecentric.scala.list.Construct.appendLists","avgt",1,15,"26,279755","1,216452","us/op",1000
"de.codecentric.scala.list.Construct.appendLists","avgt",1,15,"290,674218","10,074258","us/op",10000
"de.codecentric.scala.list.Construct.constructFromIterator","avgt",1,15,"0,010152","0,000152","us/op",1
"de.codecentric.scala.list.Construct.constructFromIterator","avgt",1,15,"0,097730","0,001989","us/op",10
"de.codecentric.scala.list.Construct.constructFromIterator","avgt",1,15,"0,912901","0,025922","us/op",100
"de.codecentric.scala.list.Construct.constructFromIterator","avgt",1,15,"10,399823","0,202084","us/op",1000
"de.codecentric.scala.list.Construct.constructFromIterator","avgt",1,15,"117,437426","0,905051","us/op",10000
"de.codecentric.scala.list.Consume.consumeFromEnd","avgt",1,15,"0,003874","0,000421","us/op",1
"de.codecentric.scala.list.Consume.consumeFromEnd","avgt",1,15,"0,293242","0,004832","us/op",10
"de.codecentric.scala.list.Consume.consumeFromEnd","avgt",1,15,"36,708264","1,809542","us/op",100
"de.codecentric.scala.list.Consume.consumeFromEnd","avgt",1,15,"2720,019294","109,282115","us/op",1000
"de.codecentric.scala.list.Consume.consumeFromEnd","avgt",1,15,"381987,140000","6852,481037","us/op",10000
"de.codecentric.scala.list.Consume.consumeFromStart","avgt",1,15,"0,003550","0,000025","us/op",1
"de.codecentric.scala.list.Consume.consumeFromStart","avgt",1,15,"0,023164","0,000795","us/op",10
"de.codecentric.scala.list.Consume.consumeFromStart","avgt",1,15,"0,227845","0,010874","us/op",100
"de.codecentric.scala.list.Consume.consumeFromStart","avgt",1,15,"2,117404","0,009755","us/op",1000
"de.codecentric.scala.list.Consume.consumeFromStart","avgt",1,15,"25,154937","0,228531","us/op",10000
"de.codecentric.scala.list.Consume.getAllByIterator","avgt",1,15,"0,004295","0,000080","us/op",1
"de.codecentric.scala.list.Consume.getAllByIterator","avgt",1,15,"0,030311","0,001544","us/op",10
"de.codecentric.scala.list.Consume.getAllByIterator","avgt",1,15,"0,299490","0,003405","us/op",100
"de.codecentric.scala.list.Consume.getAllByIterator","avgt",1,15,"3,495858","0,091891","us/op",1000
"de.codecentric.scala.list.Consume.getAllByIterator","avgt",1,15,"38,326521","0,691943","us/op",10000
"de.codecentric.scala.list.Consume.getAllRandomly","avgt",1,15,"0,004029","0,000040","us/op",1
"de.codecentric.scala.list.Consume.getAllRandomly","avgt",1,15,"0,067072","0,000580","us/op",10
"de.codecentric.scala.list.Consume.getAllRandomly","avgt",1,15,"5,950209","0,002825","us/op",100
"de.codecentric.scala.list.Consume.getAllRandomly","avgt",1,15,"758,913518","4,889577","us/op",1000
"de.codecentric.scala.list.Consume.getAllRandomly","avgt",1,15,"92606,163333","592,003419","us/op",10000
"de.codecentric.scala.list.Consume.getAllSequentially","avgt",1,15,"0,003594","0,000046","us/op",1
"de.codecentric.scala.list.Consume.getAllSequentially","avgt",1,15,"0,064348","0,000644","us/op",10
"de.codecentric.scala.list.Consume.getAllSequentially","avgt",1,15,"5,847675","0,003979","us/op",100
"de.codecentric.scala.list.Consume.getAllSequentially","avgt",1,15,"760,865248","2,722178","us/op",1000
"de.codecentric.scala.list.Consume.getAllSequentially","avgt",1,15,"94165,090303","1065,898146","us/op",10000
"de.codecentric.scala.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"0,007888","0,000078","us/op",1
"de.codecentric.scala.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"0,063565","0,000892","us/op",10
"de.codecentric.scala.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"0,506457","0,006689","us/op",100
"de.codecentric.scala.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"6,081789","0,329538","us/op",1000
"de.codecentric.scala.list.Consume.mapElementsToThereDoubleValue","avgt",1,15,"58,013909","0,763447","us/op",10000
"de.codecentric.scala.list.Consume.recursiveSplit","avgt",1,15,"0,003175","0,000103","us/op",1
"de.codecentric.scala.list.Consume.recursiveSplit","avgt",1,15,"0,149406","0,004271","us/op",10
